lokalizacja,cena,do_wynajecia_przez,liczba_pokoi,rodzaj_nieruchomosci,wielkosc,parking,liczba_lazienek,palacy,przyjazne_zwierzakom,liczba_wyrazow
"Mokotów, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,42,Nie podano,Nie podano,Tak,Tak,79
"Mokotów, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,40,Nie podano,Nie podano,Tak,Tak,92
"Mokotów, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,46,Nie podano,Nie podano,Tak,Tak,78
"Mokotów, Warszawa",3300,Właściciel,2 pokoje,Mieszkanie,60,Garaż,1 łazienka,Nie,Nie,150
"Mokotów, Warszawa",4200,Właściciel,2 pokoje,Mieszkanie,65,Garaż,1 łazienka,Nie,Tak,137
"Mokotów, Warszawa",2450,Agencja,2 pokoje,Mieszkanie,39,Nie podano,Nie podano,Tak,Tak,57
"Ochota, Warszawa",2100,Właściciel,2 pokoje,Mieszkanie,40,Ulica,1 łazienka,Tak,Nie,36
"Ochota, Warszawa",2000,Agencja,2 pokoje,Mieszkanie,50,Ulica,Nie podano,Tak,Tak,128
"Ochota, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,42,Nie podano,Nie podano,Tak,Tak,105
"Praga Północ, Warszawa",3500,Właściciel,2 pokoje,Mieszkanie,50,Garaż,2 łazienki,Tak,Tak,432
"Praga Północ, Warszawa",4200,Właściciel,3 pokoje,Mieszkanie,89,Garaż,2 łazienki,Nie,Tak,431
"Praga Południe, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,50,Nie podano,Nie podano,Tak,Tak,112
"Praga Południe, Warszawa",2150,Właściciel,2 pokoje,Mieszkanie,60,Nie podano,1 łazienka,Nie,Tak,37
"Śródmieście, Warszawa",3300,Agencja,2 pokoje,Mieszkanie,60,Nie podano,Nie podano,Tak,Tak,106
"Śródmieście, Warszawa",3000,Właściciel,2 pokoje,Mieszkanie,64,Ulica,2 łazienki,Nie,Nie,80
"Śródmieście, Warszawa",4500,Agencja,2 pokoje,Mieszkanie,82,Nie podano,Nie podano,Tak,Tak,118
"Śródmieście, Warszawa",2500,Agencja,Kawalerka lub garsoniera,Mieszkanie,32,Nie podano,Nie podano,Tak,Tak,92
"Śródmieście, Warszawa",2100,Właściciel,2 pokoje,Mieszkanie,35,Nie podano,1 łazienka,Tak,Tak,58
"Ursynów, Warszawa",2300,Agencja,2 pokoje,Mieszkanie,46,Nie podano,Nie podano,Tak,Tak,140
"Ursynów, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,50,Nie podano,Nie podano,Tak,Tak,88
"Wilanów, Warszawa",2300,Właściciel,2 pokoje,Mieszkanie,36,Garaż,1 łazienka,Nie,Nie,483
"Wilanów, Warszawa",2490,Agencja,2 pokoje,Mieszkanie,54,Nie podano,Nie podano,Tak,Tak,70
"Wola, Warszawa",4400,Agencja,2 pokoje,Mieszkanie,60,Garaż,1 łazienka,Tak,Tak,113
"Wola, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,42,Nie podano,Nie podano,Tak,Tak,94
"Bemowo, Warszawa",3200,Agencja,3 pokoje,Mieszkanie,70,Garaż,1 łazienka,Tak,Tak,136
"Bemowo, Warszawa",2500,Agencja,Kawalerka lub garsoniera,Mieszkanie,36,Garaż,1 łazienka,Tak,Tak,158
"Bemowo, Warszawa",2500,Agencja,4 pokoje,Dom,80,Nie podano,1 łazienka,Tak,Tak,64
"Bemowo, Warszawa",3200,Agencja,3 pokoje,Mieszkanie,70,Garaż,2 łazienki,Tak,Tak,136
"Bemowo, Warszawa",2900,Agencja,3 pokoje,Mieszkanie,70,Nie podano,Nie podano,Tak,Tak,69
"Bemowo, Warszawa",2700,Agencja,3 pokoje,Mieszkanie,75,Nie podano,Nie podano,Tak,Tak,112
"Bemowo, Warszawa",2080,Agencja,3 pokoje,Mieszkanie,51,Nie podano,Nie podano,Tak,Tak,329
"Bemowo, Warszawa",1700,Agencja,2 pokoje,Mieszkanie,56,Nie podano,Nie podano,Tak,Tak,439
"Bemowo, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,52,Garaż,1 łazienka,Tak,Tak,95
"Bemowo, Warszawa",3200,Agencja,3 pokoje,Mieszkanie,70,Garaż,2 łazienki,Tak,Tak,136
"Bemowo, Warszawa",2500,Agencja,3 pokoje,Mieszkanie,60,Nie podano,2 łazienki,Tak,Tak,114
"Bemowo, Warszawa",3300,Agencja,4 pokoje,Mieszkanie,100,Kryty,Nie podano,Tak,Tak,82
"Białołęka, Warszawa",1500,Właściciel,Kawalerka lub garsoniera,Mieszkanie,43,Ulica,1 łazienka,Tak,Tak,29
"Białołęka, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,62,Nie podano,1 łazienka,Tak,Tak,126
"Białołęka, Warszawa",1850,Agencja,2 pokoje,Mieszkanie,47,Garaż,1 łazienka,Tak,Tak,91
"Białołęka, Warszawa",2000,Właściciel,3 pokoje,Mieszkanie,60,Nie podano,2 łazienki,Tak,Tak,53
"Białołęka, Warszawa",1800,Właściciel,2 pokoje,Mieszkanie,41,Ulica,1 łazienka,Nie,Nie,100
"Białołęka, Warszawa",1500,Właściciel,Kawalerka lub garsoniera,Mieszkanie,24,Nie podano,1 łazienka,Tak,Tak,34
"Bielany, Warszawa",2600,Właściciel,2 pokoje,Mieszkanie,38,Ulica,1 łazienka,Nie,Nie,227
"Bielany, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,41,Nie podano,Nie podano,Tak,Tak,205
"Bielany, Warszawa",2650,Agencja,2 pokoje,Mieszkanie,43,Nie podano,Nie podano,Tak,Tak,179
"Bielany, Warszawa",1250,Właściciel,Kawalerka lub garsoniera,Mieszkanie,27,Ulica,1 łazienka,Nie,Tak,60
"Bielany, Warszawa",2900,Agencja,2 pokoje,Mieszkanie,44,Nie podano,Nie podano,Tak,Tak,121
"Bielany, Warszawa",2650,Agencja,2 pokoje,Mieszkanie,41,Nie podano,Nie podano,Tak,Tak,95
"Bielany, Warszawa",2300,Agencja,2 pokoje,Mieszkanie,38,Nie podano,Nie podano,Tak,Tak,365
"Bielany, Warszawa",1700,Agencja,Kawalerka lub garsoniera,Mieszkanie,28,Nie podano,Nie podano,Tak,Tak,424
"Bielany, Warszawa",1999,Agencja,2 pokoje,Mieszkanie,38,Nie podano,Nie podano,Tak,Tak,500
"Bielany, Warszawa",1999,Agencja,2 pokoje,Mieszkanie,38,Nie podano,Nie podano,Tak,Tak,337
"Bielany, Warszawa",1300,Agencja,Kawalerka lub garsoniera,Mieszkanie,24,Nie podano,Nie podano,Tak,Tak,343
"Bielany, Warszawa",1999,Agencja,2 pokoje,Mieszkanie,38,Nie podano,Nie podano,Tak,Tak,450
"Bielany, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,38,Nie podano,Nie podano,Tak,Tak,317
"Bielany, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,39,Nie podano,Nie podano,Tak,Tak,317
"Bielany, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,38,Nie podano,Nie podano,Tak,Tak,317
"Bielany, Warszawa",2200,Agencja,3 pokoje,Mieszkanie,50,Nie podano,Nie podano,Tak,Tak,69
"Bielany, Warszawa",2400,Agencja,3 pokoje,Mieszkanie,94,Garaż,2 łazienki,Tak,Tak,109
"Bielany, Warszawa",1800,Właściciel,Kawalerka lub garsoniera,Mieszkanie,33,Garaż,1 łazienka,Tak,Tak,400
"Mokotów, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,42,Ulica,1 łazienka,Nie,Nie,136
"Mokotów, Warszawa",3500,Agencja,2 pokoje,Mieszkanie,57,Nie podano,Nie podano,Tak,Tak,141
"Mokotów, Warszawa",2800,Agencja,3 pokoje,Mieszkanie,56,Nie podano,Nie podano,Tak,Tak,32
"Mokotów, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,50,Nie podano,1 łazienka,Tak,Tak,134
"Mokotów, Warszawa",2500,Właściciel,2 pokoje,Mieszkanie,50,Nie podano,1 łazienka,Tak,Tak,107
"Mokotów, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,44,Kryty,Nie podano,Tak,Tak,131
"Mokotów, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,48,Nie podano,1 łazienka,Tak,Tak,112
"Mokotów, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,44,Ulica,1 łazienka,Tak,Tak,136
"Mokotów, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,42,Ulica,Nie podano,Tak,Tak,88
"Mokotów, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,50,Nie podano,1 łazienka,Tak,Tak,106
"Mokotów, Warszawa",3800,Agencja,2 pokoje,Mieszkanie,70,Nie podano,Nie podano,Tak,Tak,230
"Mokotów, Warszawa",3800,Agencja,2 pokoje,Mieszkanie,65,Nie podano,Nie podano,Tak,Tak,204
"Mokotów, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,40,Nie podano,Nie podano,Tak,Tak,115
"Mokotów, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,40,Nie podano,Nie podano,Tak,Tak,105
"Mokotów, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,58,Nie podano,1 łazienka,Tak,Tak,148
"Mokotów, Warszawa",4000,Agencja,2 pokoje,Mieszkanie,47,Garaż,1 łazienka,Tak,Tak,166
"Mokotów, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,57,Garaż,1 łazienka,Tak,Tak,147
"Mokotów, Warszawa",3200,Agencja,2 pokoje,Mieszkanie,47,Garaż,Nie podano,Tak,Tak,163
"Mokotów, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,75,Nie podano,Nie podano,Tak,Tak,141
"Mokotów, Warszawa",1999,Agencja,2 pokoje,Mieszkanie,51,Nie podano,1 łazienka,Tak,Tak,66
"Mokotów, Warszawa",1800,Właściciel,3 pokoje,Mieszkanie,48,Brak,1 łazienka,Nie,Nie,12
"Mokotów, Warszawa",3800,Właściciel,2 pokoje,Mieszkanie,70,Garaż,1 łazienka,Nie,Tak,145
"Mokotów, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,50,Nie podano,Nie podano,Tak,Tak,54
"Mokotów, Warszawa",3650,Agencja,3 pokoje,Mieszkanie,70,Nie podano,Nie podano,Tak,Tak,132
"Mokotów, Warszawa",3500,Agencja,2 pokoje,Mieszkanie,56,Ulica,Nie podano,Tak,Tak,166
"Mokotów, Warszawa",1999,Agencja,2 pokoje,Mieszkanie,51,Ulica,1 łazienka,Nie,Nie,66
"Mokotów, Warszawa",3000,Agencja,3 pokoje,Mieszkanie,80,Kryty,Nie podano,Tak,Tak,58
"Mokotów, Warszawa",2000,Agencja,2 pokoje,Mieszkanie,39,Nie podano,Nie podano,Tak,Tak,56
"Mokotów, Warszawa",2900,Agencja,3 pokoje,Mieszkanie,72,Nie podano,Nie podano,Tak,Tak,88
"Mokotów, Warszawa",4500,Agencja,3 pokoje,Mieszkanie,93,Nie podano,Nie podano,Tak,Tak,101
"Mokotów, Warszawa",2550,Agencja,2 pokoje,Mieszkanie,57,Nie podano,Nie podano,Tak,Tak,84
"Mokotów, Warszawa",3500,Agencja,3 pokoje,Mieszkanie,56,Nie podano,Nie podano,Tak,Tak,141
"Mokotów, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,65,Nie podano,Nie podano,Tak,Tak,133
"Mokotów, Warszawa",3200,Agencja,2 pokoje,Mieszkanie,54,Nie podano,Nie podano,Tak,Tak,91
"Mokotów, Warszawa",3200,Agencja,3 pokoje,Mieszkanie,60,Nie podano,Nie podano,Tak,Tak,91
"Mokotów, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,42,Nie podano,Nie podano,Tak,Tak,219
"Mokotów, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,48,Nie podano,Nie podano,Tak,Tak,115
"Mokotów, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,52,Nie podano,Nie podano,Tak,Tak,85
"Mokotów, Warszawa",2900,Agencja,2 pokoje,Mieszkanie,56,Nie podano,Nie podano,Tak,Tak,125
"Mokotów, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,41,Nie podano,Nie podano,Tak,Tak,78
"Mokotów, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,58,Nie podano,Nie podano,Tak,Tak,90
"Mokotów, Warszawa",2800,Agencja,3 pokoje,Mieszkanie,56,Nie podano,Nie podano,Tak,Tak,118
"Mokotów, Warszawa",2750,Agencja,2 pokoje,Mieszkanie,49,Ulica,1 łazienka,Tak,Tak,154
"Mokotów, Warszawa",4700,Agencja,2 pokoje,Mieszkanie,59,Garaż,1 łazienka,Tak,Nie,154
"Mokotów, Warszawa",2850,Agencja,2 pokoje,Mieszkanie,48,Ulica,1 łazienka,Tak,Tak,155
"Mokotów, Warszawa",2300,Agencja,2 pokoje,Mieszkanie,36,Garaż,1 łazienka,Tak,Nie,147
"Mokotów, Warszawa",3800,Agencja,2 pokoje,Mieszkanie,45,Garaż,1 łazienka,Tak,Nie,161
"Mokotów, Warszawa",2420,Agencja,2 pokoje,Mieszkanie,50,Garaż,1 łazienka,Tak,Tak,148
"Mokotów, Warszawa",2750,Agencja,2 pokoje,Mieszkanie,56,Nie podano,Nie podano,Tak,Tak,111
"Mokotów, Warszawa",2150,Agencja,2 pokoje,Mieszkanie,36,Ulica,1 łazienka,Tak,Nie,160
"Mokotów, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,42,Garaż,Nie podano,Tak,Tak,55
"Mokotów, Warszawa",2200,Agencja,2 pokoje,Mieszkanie,38,Ulica,1 łazienka,Tak,Tak,142
"Mokotów, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,42,Garaż,1 łazienka,Tak,Tak,168
"Mokotów, Warszawa",2650,Właściciel,2 pokoje,Mieszkanie,60,Nie podano,1 łazienka,Tak,Tak,135
"Mokotów, Warszawa",2050,Agencja,2 pokoje,Mieszkanie,37,Ulica,1 łazienka,Tak,Tak,152
"Mokotów, Warszawa",2100,Agencja,2 pokoje,Mieszkanie,42,Ulica,1 łazienka,Tak,Tak,137
"Mokotów, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,40,Garaż,1 łazienka,Tak,Nie,150
"Mokotów, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,50,Ulica,1 łazienka,Tak,Tak,137
"Mokotów, Warszawa",3440,Agencja,3 pokoje,Mieszkanie,55,Garaż,1 łazienka,Tak,Tak,155
"Mokotów, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,37,Garaż,1 łazienka,Tak,Tak,162
"Mokotów, Warszawa",2900,Agencja,2 pokoje,Mieszkanie,57,Nie podano,Nie podano,Tak,Tak,199
"Mokotów, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,36,Nie podano,Nie podano,Tak,Tak,220
"Mokotów, Warszawa",3350,Agencja,2 pokoje,Mieszkanie,50,Garaż,1 łazienka,Tak,Nie,154
"Mokotów, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,45,Garaż,1 łazienka,Nie,Nie,150
"Mokotów, Warszawa",2150,Agencja,2 pokoje,Mieszkanie,50,Nie podano,1 łazienka,Nie,Nie,75
"Mokotów, Warszawa",2900,Agencja,3 pokoje,Mieszkanie,70,Nie podano,Nie podano,Tak,Tak,122
"Mokotów, Warszawa",2600,Agencja,Kawalerka lub garsoniera,Mieszkanie,30,Garaż,1 łazienka,Tak,Tak,172
"Mokotów, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,50,Nie podano,Nie podano,Tak,Tak,100
"Mokotów, Warszawa",2100,Właściciel,2 pokoje,Mieszkanie,43,Ulica,1 łazienka,Tak,Tak,139
"Mokotów, Warszawa",1950,Właściciel,2 pokoje,Mieszkanie,45,Ulica,1 łazienka,Nie,Nie,28
"Mokotów, Warszawa",3650,Agencja,3 pokoje,Mieszkanie,80,Kryty,Nie podano,Tak,Tak,61
"Mokotów, Warszawa",2750,Agencja,3 pokoje,Mieszkanie,57,Nie podano,Nie podano,Tak,Tak,71
"Mokotów, Warszawa",2700,Agencja,3 pokoje,Mieszkanie,65,Ulica,Nie podano,Tak,Tak,81
"Mokotów, Warszawa",3650,Agencja,3 pokoje,Mieszkanie,70,Nie podano,Nie podano,Tak,Tak,200
"Mokotów, Warszawa",2000,Agencja,2 pokoje,Mieszkanie,54,Nie podano,Nie podano,Tak,Tak,321
"Mokotów, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,54,Nie podano,Nie podano,Tak,Tak,142
"Mokotów, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,52,Nie podano,Nie podano,Tak,Tak,112
"Mokotów, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,40,Nie podano,Nie podano,Tak,Tak,104
"Mokotów, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,37,Nie podano,Nie podano,Tak,Tak,110
"Mokotów, Warszawa",2700,Agencja,Kawalerka lub garsoniera,Mieszkanie,65,Nie podano,Nie podano,Tak,Tak,99
"Mokotów, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,42,Nie podano,Nie podano,Tak,Tak,87
"Mokotów, Warszawa",2020,Agencja,3 pokoje,Mieszkanie,84,Nie podano,Nie podano,Tak,Tak,515
"Mokotów, Warszawa",2650,Agencja,2 pokoje,Mieszkanie,48,Nie podano,Nie podano,Tak,Tak,105
"Mokotów, Warszawa",4500,Agencja,2 pokoje,Mieszkanie,70,Garaż,2 łazienki,Tak,Tak,133
"Mokotów, Warszawa",1999,Agencja,2 pokoje,Mieszkanie,44,Nie podano,Nie podano,Tak,Tak,306
"Mokotów, Warszawa",1830,Agencja,2 pokoje,Mieszkanie,52,Nie podano,Nie podano,Tak,Tak,299
"Mokotów, Warszawa",1150,Agencja,Kawalerka lub garsoniera,Mieszkanie,20,Nie podano,Nie podano,Tak,Tak,264
"Mokotów, Warszawa",1420,Agencja,2 pokoje,Mieszkanie,38,Nie podano,Nie podano,Tak,Tak,415
"Mokotów, Warszawa",1820,Agencja,2 pokoje,Mieszkanie,42,Nie podano,Nie podano,Tak,Tak,333
"Mokotów, Warszawa",1060,Agencja,Kawalerka lub garsoniera,Mieszkanie,20,Nie podano,Nie podano,Tak,Tak,253
"Mokotów, Warszawa",4000,Agencja,2 pokoje,Mieszkanie,60,Kryty,1 łazienka,Tak,Tak,112
"Mokotów, Warszawa",3800,Agencja,2 pokoje,Mieszkanie,51,Garaż,1 łazienka,Tak,Tak,153
"Mokotów, Warszawa",1700,Właściciel,Kawalerka lub garsoniera,Mieszkanie,32,Nie podano,1 łazienka,Tak,Tak,52
"Mokotów, Warszawa",4990,Agencja,3 pokoje,Mieszkanie,70,Nie podano,Nie podano,Tak,Tak,149
"Mokotów, Warszawa",4000,Właściciel,2 pokoje,Mieszkanie,68,Nie podano,2 łazienki,Nie,Nie,116
"Mokotów, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,40,Nie podano,1 łazienka,Tak,Tak,132
"Mokotów, Warszawa",3000,Agencja,3 pokoje,Dom,70,Nie podano,1 łazienka,Tak,Tak,43
"Mokotów, Warszawa",4500,Agencja,3 pokoje,Mieszkanie,95,Kryty,Nie podano,Tak,Tak,76
"Mokotów, Warszawa",3850,Agencja,3 pokoje,Mieszkanie,75,Kryty,Nie podano,Tak,Tak,75
"Mokotów, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,42,Ulica,1 łazienka,Nie,Nie,136
"Mokotów, Warszawa",2900,Właściciel,2 pokoje,Mieszkanie,57,Garaż,1 łazienka,Nie,Tak,52
"Mokotów, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,43,Nie podano,1 łazienka,Tak,Tak,152
"Mokotów, Warszawa",2600,Agencja,Kawalerka lub garsoniera,Mieszkanie,30,Nie podano,1 łazienka,Tak,Tak,194
"Ochota, Warszawa",2000,Właściciel,2 pokoje,Mieszkanie,37,Nie podano,1 łazienka,Nie,Tak,97
"Ochota, Warszawa",3800,Właściciel,3 pokoje,Mieszkanie,68,Garaż,1 łazienka,Nie,Nie,203
"Ochota, Warszawa",2600,Agencja,Kawalerka lub garsoniera,Mieszkanie,38,Nie podano,Nie podano,Tak,Tak,102
"Ochota, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,42,Nie podano,Nie podano,Tak,Tak,95
"Ochota, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,50,Nie podano,Nie podano,Tak,Tak,110
"Ochota, Warszawa",3000,Agencja,3 pokoje,Mieszkanie,73,Ulica,Nie podano,Tak,Tak,186
"Ochota, Warszawa",3150,Agencja,3 pokoje,Mieszkanie,85,Nie podano,Nie podano,Tak,Tak,213
"Ochota, Warszawa",4500,Agencja,3 pokoje,Mieszkanie,82,Garaż,1 łazienka,Tak,Tak,80
"Ochota, Warszawa",3400,Agencja,4 pokoje,Mieszkanie,76,Nie podano,1 łazienka,Tak,Tak,90
"Ochota, Warszawa",2500,Właściciel,2 pokoje,Mieszkanie,54,Ulica,1 łazienka,Nie,Tak,74
"Ochota, Warszawa",2000,Agencja,2 pokoje,Mieszkanie,53,Ulica,Nie podano,Tak,Tak,48
"Ochota, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,65,Nie podano,Nie podano,Tak,Tak,52
"Ochota, Warszawa",2400,Agencja,2 pokoje,Mieszkanie,50,Nie podano,Nie podano,Tak,Tak,112
"Ochota, Warszawa",3000,Agencja,3 pokoje,Mieszkanie,70,Nie podano,Nie podano,Tak,Tak,105
"Ochota, Warszawa",2000,Właściciel,2 pokoje,Mieszkanie,38,Ulica,1 łazienka,Tak,Tak,36
"Ochota, Warszawa",1700,Agencja,Kawalerka lub garsoniera,Mieszkanie,31,Nie podano,Nie podano,Tak,Tak,50
"Ochota, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,44,Ulica,2 łazienki,Nie,Nie,104
"Ochota, Warszawa",2100,Agencja,Kawalerka lub garsoniera,Mieszkanie,35,Garaż,1 łazienka,Tak,Nie,199
"Ochota, Warszawa",2300,Agencja,2 pokoje,Mieszkanie,48,Ulica,1 łazienka,Tak,Tak,145
"Ochota, Warszawa",2900,Agencja,2 pokoje,Mieszkanie,57,Nie podano,Nie podano,Tak,Tak,87
"Ochota, Warszawa",2700,Agencja,Kawalerka lub garsoniera,Mieszkanie,43,Nie podano,Nie podano,Tak,Tak,87
"Ochota, Warszawa",3600,Agencja,Kawalerka lub garsoniera,Mieszkanie,35,Nie podano,Nie podano,Tak,Tak,155
"Ochota, Warszawa",2700,Agencja,2 pokoje,Mieszkanie,46,Nie podano,Nie podano,Tak,Tak,88
"Ochota, Warszawa",2600,Agencja,2 pokoje,Mieszkanie,45,Nie podano,1 łazienka,Nie,Tak,104
"Ochota, Warszawa",1270,Agencja,Kawalerka lub garsoniera,Mieszkanie,20,Nie podano,Nie podano,Tak,Tak,208
"Ochota, Warszawa",2900,Agencja,2 pokoje,Mieszkanie,55,Nie podano,Nie podano,Tak,Tak,66
"Ochota, Warszawa",2340,Agencja,3 pokoje,Mieszkanie,86,Nie podano,Nie podano,Tak,Tak,275
"Ochota, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,50,Garaż,1 łazienka,Tak,Tak,163
"Ochota, Warszawa",1800,Właściciel,Kawalerka lub garsoniera,Mieszkanie,38,Nie podano,1 łazienka,Tak,Tak,67
"Ochota, Warszawa",3800,Agencja,3 pokoje,Mieszkanie,75,Kryty,Nie podano,Tak,Tak,80
"Ochota, Warszawa",1800,Właściciel,Kawalerka lub garsoniera,Mieszkanie,34,Ulica,1 łazienka,Nie,Nie,201
"Praga Północ, Warszawa",1600,Agencja,2 pokoje,Mieszkanie,40,Nie podano,1 łazienka,Tak,Tak,86
"Praga Północ, Warszawa",1490,Właściciel,Kawalerka lub garsoniera,Mieszkanie,32,Nie podano,1 łazienka,Nie,Tak,22
"Praga Północ, Warszawa",1900,Agencja,Kawalerka lub garsoniera,Mieszkanie,33,Garaż,1 łazienka,Tak,Tak,97
"Praga Północ, Warszawa",1800,Agencja,2 pokoje,Mieszkanie,36,Nie podano,1 łazienka,Tak,Tak,123
"Praga Północ, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,61,Garaż,1 łazienka,Nie,Nie,63
"Praga Północ, Warszawa",1960,Agencja,3 pokoje,Mieszkanie,55,Nie podano,Nie podano,Tak,Tak,447
"Praga Północ, Warszawa",1200,Agencja,Kawalerka lub garsoniera,Mieszkanie,20,Nie podano,Nie podano,Tak,Tak,220
"Praga Północ, Warszawa",1200,Agencja,2 pokoje,Mieszkanie,50,Nie podano,Nie podano,Tak,Tak,453
"Praga Północ, Warszawa",3200,Agencja,2 pokoje,Mieszkanie,52,Nie podano,1 łazienka,Tak,Tak,141
"Praga Południe, Warszawa",3900,Agencja,3 pokoje,Mieszkanie,64,Garaż,1 łazienka,Tak,Tak,133
"Praga Południe, Warszawa",2900,Agencja,3 pokoje,Mieszkanie,54,Nie podano,Nie podano,Tak,Tak,117
"Praga Południe, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,46,Garaż,1 łazienka,Tak,Tak,181
"Praga Południe, Warszawa",2999,Agencja,3 pokoje,Mieszkanie,73,Ulica,1 łazienka,Tak,Tak,150
"Praga Południe, Warszawa",1200,Właściciel,Kawalerka lub garsoniera,Mieszkanie,30,Nie podano,1 łazienka,Tak,Nie,36
"Praga Południe, Warszawa",3300,Agencja,2 pokoje,Mieszkanie,55,Garaż,1 łazienka,Nie,Tak,52
"Praga Południe, Warszawa",2000,Agencja,Kawalerka lub garsoniera,Mieszkanie,40,Nie podano,Nie podano,Tak,Tak,57
"Praga Południe, Warszawa",3300,Agencja,2 pokoje,Mieszkanie,55,Nie podano,Nie podano,Tak,Tak,57
"Praga Południe, Warszawa",1800,Właściciel,Kawalerka lub garsoniera,Mieszkanie,30,Ulica,1 łazienka,Nie,Nie,27
"Praga Południe, Warszawa",2500,Agencja,2 pokoje,Mieszkanie,51,Nie podano,Nie podano,Tak,Tak,134
"Praga Południe, Warszawa",2899,Agencja,3 pokoje,Mieszkanie,56,Nie podano,Nie podano,Tak,Tak,73
"Praga Południe, Warszawa",3000,Agencja,2 pokoje,Mieszkanie,50,Nie podano,Nie podano,Tak,Tak,76
"Praga Południe, Warszawa",1990,Agencja,2 pokoje,Mieszkanie,46,Nie podano,Nie podano,Tak,Tak,83
"Praga Południe, Warszawa",1899,Agencja,2 pokoje,Mieszkanie,50,Garaż,1 łazienka,Tak,Tak,285
"Praga Południe, Warszawa",2800,Agencja,2 pokoje,Mieszkanie,50,Nie podano,Nie podano,Tak,Tak,130
"Praga Południe, Warszawa",1330,Agencja,2 pokoje,Mieszkanie,38,Nie podano,Nie podano,Tak,Tak,361
"Praga Południe, Warszawa",2750,Agencja,3 pokoje,Mieszkanie,56,Nie podano,Nie podano,Tak,Tak,89
"Praga Południe, Warszawa",1100,Właściciel,Kawalerka lub garsoniera,Mieszkanie,28,Ulica,1 łazienka,Tak,Nie,35
"Praga Południe, Warszawa",1560,Agencja,2 pokoje,Mieszkanie,39,Nie podano,Nie podano,Tak,Tak,284
"Praga Południe, Warszawa",1590,Agencja,3 pokoje,Mieszkanie,57,Nie podano,Nie podano,Tak,Tak,520
"Praga Południe, Warszawa",1120,Agencja,Kawalerka lub garsoniera,Mieszkanie,33,Nie podano,Nie podano,Tak,Tak,220
"Praga Południe, Warszawa",1060,Agencja,Kawalerka lub garsoniera,Mieszkanie,36,Nie podano,Nie podano,Tak,Tak,257
"Praga Południe, Warszawa",1500,Agencja,Kawalerka lub garsoniera,Mieszkanie,30,Nie podano,1 łazienka,Tak,Tak,24
"Praga Południe, Warszawa",3799,Agencja,4 pokoje,Mieszkanie,94,Nie podano,1 łazienka,Tak,Tak,156
